ISIC4,Activity
5913,فعاليت‌هاي توزيع فيلم سينمايي، ويديويي و برنامه هاي تلويزيوني
5914,فعاليت‌نمايش فيلم سينمايي
5920,فعاليت‌هاي ضبط صدا و انتشار موسيقي
6010,پخش برنامه‌هاي رادیویی
6020,فعاليت‌هاي برنامه‌ريزي و پخش برنامه‌هاي تلويزيوني
6100,فعاليت‌هاي مخابراتي باسيم، بي‌سيم و ماهواره‌اي
6190,ساير فعاليت هاي مخابراتي
6201,فعاليت‌هاي  برنامه‌نويسي رايانه
6202,فعاليت‌هاي مشاوره مربوط به رايانه و مديريت تسهيلات رايانه‌اي
6209,ساير فعاليت‌هاي خدماتي فناوري اطلاعات و رايانه
6311,پردازش و ميزباني داده‌ها و  فعاليت‌هاي مربوط
6312,پورتال‌هاي(درگاه‌هاي) وب
6391,فعاليت‌هاي بنگاه‌هاي خبري
6399,ساير  فعاليت‌هاي خدماتي اطلاع‌رساني طبقه‌بندي‌نشده در جاي ديگر
6411,بانكداري مركزي
6419,ساير واسطه‌گري‌هاي پولي
6420,فعاليت‌هاي شركت‌هاي صاحب سهم
6430,تراست‌ها، صندوق‌ها و واحدهاي مالي مشابه
6491,اجاره داري مالي(ليزينگ)
6492,اعطاي ساير اعتبارها
6499,ساير فعاليت‌هاي خدمات مالي، بجز فعاليت‌هاي تامين وجوه بازنشستگي و بيمه، طبقه‌بندي نشده در جاي ديگر
6511,بيمه عمر
6512,بيمه غير از بيمه عمر
6520,بيمه اتكايي
6530,تامين وجوه بازنشستگي
6611,سرپرستي بازارهاي مالي
6612,كارگزاري در بازارهاي اوراق بهادار و كالا
6619,ساير فعاليت‌هاي جنبي فعاليت‌هاي خدمات مالي
6621,ارزشيابي مخاطره و خسارت
6622,فعاليت‌هاي كارگزاران و نمايندگان بيمه
6629,ساير فعاليت‌هاي جنبي تامين وجوه بازنشستگي وبيمه
6630,فعاليت‌هاي مديريت وجوه
6810,فعاليت‌هاي مربوط به املاك و مستغلات با مالكيت شخصي يا اجاره‌اي
6820,فعاليت‌هاي مربوط به املاك و مستغلات براساس دستمزد يا قرارداد
6910,فعاليت‌هاي حقوقي
